iso_code,continent,location,N_Year,N_Month,N_YM,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate
LAO,Asia,Laos,2021,5,202105,47255.0,1155.0,45.0,3.0,6403.674000000001,156.519,6.101999999999999,0.40800000000000003,24.540000000000003
NER,Africa,Niger,2021,5,202105,165559.0,182.0,5949.0,1.0,6587.888999999999,7.240999999999998,236.7199999999998,0.04,30.42000000000001
VNM,Asia,Vietnam,2021,4,202104,82567.0,325.0,1050.0,0.0,841.0710000000001,3.3129999999999997,10.709999999999997,0.0,40.57000000000001
MKD,Europe,North Macedonia,2020,2,202002,4.0,1.0,0.0,0.0,1.92,0.48,0.0,0.0,0.0
SSD,Africa,South Sudan,2021,9,202109,351900.0,574.0,3675.0,10.0,30918.929999999997,50.43299999999999,322.8949999999999,0.879,33.08
BRN,Asia,Brunei,2021,3,202103,6155.0,26.0,93.0,0.0,13940.098000000007,58.88900000000001,210.64499999999987,0.0,23.57
COD,Africa,Democratic Republic of Congo,2021,2,202102,682090.0,3142.0,19347.0,36.0,7383.686000000001,34.013000000000005,209.432,0.39099999999999996,28.700000000000006
SXM,North America,Sint Maarten (Dutch part),2021,12,202112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,North America,Dominica,2020,8,202008,576.0,2.0,0.0,0.0,7980.9320000000025,27.712,0.0,0.0,0.0
BEL,Europe,Belgium,2020,7,202007,1979139.0,7324.0,303682.0,94.0,170141.179,629.623,26106.713999999996,8.084,41.09999999999999
BHS,North America,Bahamas,2021,8,202108,511668.0,3299.0,9890.0,67.0,1289115.525,8311.626,24917.23700000001,168.79999999999998,35.31
GIB,Europe,Gibraltar,2021,10,202110,178261.0,443.0,3024.0,1.0,5291056.955000001,13148.915,89756.91100000002,29.682,0.0
LAO,Asia,Laos,2021,11,202111,1693579.0,33467.0,3344.0,105.0,229502.21499999997,4535.219999999999,453.15500000000003,14.235999999999999,34.68
LBY,Africa,Libya,2020,6,202006,14275.0,668.0,316.0,19.0,2051.435,95.99700000000001,45.41700000000001,2.73,35.61
LBR,Africa,Liberia,2020,10,202010,42683.0,87.0,2542.0,0.0,8239.628999999999,16.792,490.6990000000002,0.0,31.24
