iso_code,continent,location,LY,LW,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY,CY,CW,total_cases_CT,new_cases_CT,total_deaths_CT,new_deaths_CT,reproduction_rate_CT
NIC,North America,Nicaragua,2020,23,6349.0,359.0,265.0,11.0,8.190000000000001,2021,23,37405.0,157.0,935.0,1.0,1.46
NIC,North America,Nicaragua,2020,23,759.0,0.0,35.0,0.0,1.38,2021,23,37405.0,157.0,935.0,1.0,1.46
PHL,Asia,Philippines,2020,6,16.0,2.0,7.0,1.0,0.0,2021,6,3187050.0,9903.0,65788.0,361.0,5.89
FLK,South America,Falkland Islands,2020,17,82.0,2.0,0.0,0.0,0.0,2021,17,437.0,1.0,0.0,0.0,0.0
LIE,Europe,Liechtenstein,2020,42,1248.0,75.0,7.0,0.0,13.219999999999999,2021,42,25030.0,17.0,416.0,2.0,8.64
UKR,Europe,Ukraine,2020,35,791801.0,14414.0,16897.0,254.0,7.889999999999999,2021,35,16609730.0,12599.0,396511.0,390.0,7.61
GRC,Europe,Greece,2020,22,20282.0,39.0,1214.0,4.0,5.3,2021,22,2765925.0,11466.0,83356.0,290.0,6.039999999999999
STP,Africa,Sao Tome and Principe,2020,40,3644.0,0.0,60.0,0.0,1.4100000000000001,2021,40,17013.0,121.0,248.0,1.0,4.920000000000001
STP,Africa,Sao Tome and Principe,2020,40,2735.0,2.0,45.0,0.0,1.15,2021,40,17013.0,121.0,248.0,1.0,4.920000000000001
SVK,Europe,Slovakia,2020,39,51910.0,2054.0,285.0,5.0,10.540000000000001,2021,39,5558264.0,7767.0,88093.0,27.0,9.87
NAM,Africa,Namibia,2020,25,264.0,14.0,0.0,0.0,0.0,2021,25,480655.0,7556.0,7491.0,141.0,9.530000000000001
NLD,Europe,Netherlands,2020,47,3245636.0,36875.0,60963.0,428.0,6.219999999999999,2021,47,16531271.0,138589.0,132341.0,227.0,9.65
SWZ,Africa,Eswatini,2020,22,1880.0,45.0,14.0,0.0,6.9799999999999995,2021,22,130008.0,39.0,4704.0,0.0,7.610000000000001
TCD,Africa,Chad,2020,25,5977.0,10.0,516.0,2.0,3.94,2021,25,34606.0,4.0,1218.0,0.0,5.09
IMN,Europe,Isle of Man,2020,28,2352.0,0.0,168.0,0.0,0.0,2021,28,11571.0,52.0,203.0,0.0,0.0
OWID_SAM,,South America,2020,9,19.0,4.0,0.0,0.0,0.0,2021,9,123611042.0,564377.0,3736006.0,16244.0,0.0
SSD,Africa,South Sudan,2020,37,17897.0,34.0,341.0,1.0,7.4799999999999995,2021,37,80936.0,137.0,840.0,0.0,7.830000000000001
PSE,Asia,Palestine,2020,13,502.0,50.0,3.0,1.0,0.0,2021,13,1608069.0,13357.0,17479.0,151.0,7.24
DMA,North America,Dominica,2020,30,126.0,0.0,0.0,0.0,0.0,2021,30,1451.0,3.0,0.0,0.0,2.12
SUR,South America,Suriname,2020,36,8043.0,80.0,138.0,4.0,1.7,2021,36,120175.0,1242.0,2923.0,14.0,5.470000000000001
SUR,South America,Suriname,2020,36,21025.0,286.0,368.0,5.0,4.04,2021,36,120175.0,1242.0,2923.0,14.0,5.470000000000001
BRA,South America,Brazil,2020,40,19088190.0,96407.0,571259.0,2570.0,3.8099999999999996,2021,40,106980238.0,73921.0,2978857.0,2566.0,4.109999999999999
BRA,South America,Brazil,2020,40,14648088.0,91609.0,436449.0,2015.0,2.86,2021,40,106980238.0,73921.0,2978857.0,2566.0,4.109999999999999
PAK,Asia,Pakistan,2020,49,798506.0,5297.0,16116.0,106.0,2.2300000000000004,2021,49,3854459.0,1065.0,86183.0,28.0,2.96
PAK,Asia,Pakistan,2020,49,2049883.0,16017.0,41295.0,270.0,5.44,2021,49,3854459.0,1065.0,86183.0,28.0,2.96
CHE,Europe,Switzerland,2020,23,30862.0,17.0,1796.0,0.0,0.72,2021,23,3483094.0,2552.0,53602.0,16.0,3.67
CHE,Europe,Switzerland,2020,23,185443.0,94.0,10776.0,0.0,4.9,2021,23,3483094.0,2552.0,53602.0,16.0,3.67
KWT,Asia,Kuwait,2020,40,318221.0,1276.0,1847.0,10.0,2.73,2021,40,2057849.0,208.0,12238.0,4.0,4.19
KWT,Asia,Kuwait,2020,40,417275.0,1983.0,2423.0,13.0,3.56,2021,40,2057849.0,208.0,12238.0,4.0,4.19
